Is the news important? | [ɪz] [ðə] [njuːz] [ɪmˈpɔːtənt]? | Новости важные?
Is this thing so important? | [ɪz] [ðɪs] [θɪŋ] [səʊ] [ɪmˈpɔːtənt]? | Эта вещь такая важная?
Are his parents abroad? | [ɑː] [hɪz] [ˈpeərənts] [əˈbrɔːd]? | Его родители заграницей?
Is his mother a doctor? | [ɪz] [hɪz] [ˈmʌðər] [ə] [ˈdɒktə]? | Его мама врач?
Is his father a businessman? | [ɪz] [hɪz] [ˈfɑːðər] [ə] [ˈbɪznɪsmən]? | Его отец бизнесмен?
Is this story so funny? | [ɪz] [ðɪs] [ˈstɔːri] [səʊ] [ˈfʌni]? | Эта история такая смешная?
Is this knowledge enough? | [ɪz] [ðɪs] [ˈnɒlɪʤ] [ɪˈnʌf]? | Этих знаний достаточно?
Is his computer new? | [ɪz] [hɪz] [kəmˈpjuːtə] [njuː]? | Его компьютер новый?
Is it a powerful computer? | [ɪz] [ɪt] [ə] [ˈpaʊəfʊl] [kəmˈpjuːtə]? | Этот компьютер мощный?
Is this information really useful? | [ɪz] [ðɪs] [ˌɪnfəˈmeɪʃən] [ˈrɪəli] [ˈjuːsfʊl]? | Эта информация реально полезная?
Is this project so interesting? | [ɪz] [ðɪs] [ˈprɒʤɛkt] [səʊ] [ˈɪntrɪstɪŋ]? | Этот проект такой интересный?
Is his video so funny? | [ɪz] [hɪz] [ˈvɪdɪəʊ] [səʊ] [ˈfʌni]? | Его видео такое забавное?
