I'm fine | [aɪm] [faɪn] | У меня всё хорошо
It's an important detail | [ɪts] [ən] [ɪmˈpɔːtənt] [ˈdiːteɪl] | Это важная делать
It's a very important detail | [ɪts] [ə] [ˈvɛri] [ɪmˈpɔːtənt] [ˈdiːteɪl] | Это очень важная деталь
It's a low level | [ɪts] [ə] [ləʊ] [ˈlɛvl] | Это низкий уровень
It's a very low level | [ɪts] [ə] [ˈvɛri] [ləʊ] [ˈlɛvl] | Это очень низкий уровень
It's a very high level | [ɪts] [ə] [ˈvɛri] [haɪ] [ˈlɛvl] | Это очень высокий уровень
It's a high level | [ɪts] [ə] [haɪ] [ˈlɛvl] | Это высокий уровень
It's a very big success | [ɪts] [ə] [ˈvɛri] [bɪg] [səkˈsɛs] | Это очень большой успех
It's a big success | [ɪts] [ə] [bɪg] [səkˈsɛs] | Это большой успех
It's a very easy lesson | [ɪts] [ə] [ˈvɛri] [ˈiːzi] [ˈlɛsn] | Это очень лёгкий урок
It's an easy lesson | [ɪts] [ən] [ˈiːzi] [ˈlɛsn] | Это лёгкий урок
It's a very useful lesson | [ɪts] [ə] [ˈvɛri] [ˈjuːsfʊl] [ˈlɛsn] | Это очень полезный урок
It's a useful lesson | [ɪts] [ə] [ˈjuːsfʊl] [ˈlɛsn] | Это полезный урок
It's an interesting idea | [ɪts] [ən] [ˈɪntrɪstɪŋ] [aɪˈdɪə] | Это интересная идея
It's a very interesting idea | [ɪts] [ə] [ˈvɛri] [ˈɪntrɪstɪŋ] [aɪˈdɪə] | Это очень интересная идея
It's a good result | [ɪts] [ə] [gʊd] [rɪˈzʌlt] | Это хороший результат
It's a very good result | [ɪts] [ə] [ˈvɛri] [gʊd] [rɪˈzʌlt] | Это очень хороший результат
It's easy | [ɪts] [ˈiːzi] | Это легко
It's very easy | [ɪts] [ˈvɛri] [ˈiːzi] | Это очень легко
It's good | [ɪts] [gʊd] | Это хорошо
It's so good | [ɪts] [səʊ] [gʊd] | Это так хорошо
It's so bad | [ɪts] [səʊ] [bæd] | Это так плохо
It's so difficult | [ɪts] [səʊ] [ˈdɪfɪkəlt] | Это так сложно
It's difficult | [ɪts] [ˈdɪfɪkəlt] | Это сложно
It's so important | [ɪts] [səʊ] [ɪmˈpɔːtənt] | Это так важно
It's very important | [ɪts] [ˈvɛri] [ɪmˈpɔːtənt] | Это очень важно
It's important | [ɪts] [ɪmˈpɔːtənt] | Это важно
She's his wife | [ʃiːz] [hɪz] [waɪf] | Она его жена
He's her husband | [hiːz] [hɜː] [ˈhʌzbənd] | Он её муж
She's a student | [ʃiːz] [ə] [ˈstjuːdənt] | Она студентка
She's my teacher | [ʃiːz] [maɪ] [ˈtiːʧə] | Она моя учительница
She's my girlfriend | [ʃiːz] [maɪ] [ˈgɜːlˌfrɛnd] | Она моя девушка
She's a teacher | [ʃiːz] [ə] [ˈtiːʧə] | Она учительница
He's a businessman | [hiːz] [ə] [ˈbɪznɪsmən] | Он бизнесмен
He's my boyfriend | [hiːz] [maɪ] [ˈbɔɪˌfrɛnd] | Он мой парень
He's my friend | [hiːz] [maɪ] [frɛnd] | Он мой друг
He's a manager | [hiːz] [ə] [ˈmænɪʤə] | Он менеджер
He's a doctor | [hiːz] [ə] [ˈdɒktə] | Он врач
They're lazy | [ðeə] [ˈleɪzi] | Они ленивые
They're poor | [ðeə] [pʊə] | Они бедные
They're rich | [ðeə] [rɪʧ] | Они богатые
They're our friends | [ðeər] [ˈaʊə] [frɛndz] | Они наши друзья
You're a good person | [jʊər] [ə] [gʊd] [ˈpɜːsn] | Ты хороший человек
You're very kind | [jʊə] [ˈvɛri] [kaɪnd] | Ты очень добрый
We're so happy | [wɪə] [səʊ] [ˈhæpi] | Мы так счастливы
We're friends | [wɪə] [frɛndz] | Мы друзья
We're in the park | [wɪər] [ɪn] [ðə] [pɑːk] | Мы в парке
I'm sure | [aɪm] [ʃʊə] | Я уверен
I'm at home | [aɪm] [æt] [həʊm] | Я дома
I'm at work | [aɪm] [æt] [wɜːk] | Я на работе
I'm at school | [aɪm] [æt] [skuːl] | Я в школе
She's here | [ʃiːz] [hɪə] | Она здесь
It's there | [ɪts] [ðeə] | Это там
He's at school | [hiːz] [æt] [skuːl] | Он в школе
They're at work | [ðeər] [æt] [wɜːk] | Они на работе
You're right | [jʊə] [raɪt] | Ты прав
I'm happy | [aɪm] [ˈhæpi] | Я счастлив
It's at home | [ɪts] [æt] [həʊm] | Это дома
She's at home | [ʃiːz] [æt] [həʊm] | Она дома
He's at home | [hiːz] [æt] [həʊm] | Он дома
They're at home | [ðeər] [æt] [həʊm] | Они дома
You're at home | [jʊər] [æt] [həʊm] | Вы дома
We're at home | [wɪər] [æt] [həʊm] | Мы дома
I'm at home | [aɪm] [æt] [həʊm] | Я дома
It's interesting | [ɪts] [ˈɪntrɪstɪŋ] | Это интересно
Let's talk about it | [lɛts] [tɔːk] [əˈbaʊt] [ɪt] | Давай поговорим об этом
How often do you go to the cinema? | [haʊ] [ˈɒf(ə)n] [duː] [juː] [gəʊ] [tuː] [ðə] [ˈsɪnəmə]? | Как часто ты ходишь в кино?
She often asks me about it | [ʃiː] [ˈɒf(ə)n] [ɑːsks] [miː] [əˈbaʊt] [ɪt] | Она часто спрашивает меня об этом
How often does your girlfriend mention it? | [haʊ] [ˈɒf(ə)n] [dʌz] [jɔː] [ˈgɜːlˌfrɛnd] [ˈmɛnʃən] [ɪt]? | Как часто твоя девушка упоминает это?
I'd like to order it online | [aɪd] [laɪk] [tuː] [ˈɔːdər] [ɪt] [ˈɒnˌlaɪn] | Я хотел бы заказать это онлайн
It doesn't inspire me | [ɪt] [dʌznt] [ɪnˈspaɪə] [miː] | Это не вдохновляет меня
She goes to school with great pleasure | [ʃiː] [gəʊz] [tuː] [skuːl] [wɪð] [greɪt] [ˈplɛʒə] | Она ходит в школу с большим удовольствием
I don't share your point of view | [aɪ] [dəʊnt] [ʃeə] [jɔː] [pɔɪnt] [ɒv] [vjuː] | Я не разделяю твою точку зрения
How regularly do you practice English? | [haʊ] [ˈrɛgjʊləli] [duː] [juː] [ˈpræktɪs] [ˈɪŋglɪʃ]? | Как регулярно ты практикуешь англиский?
How often do you travel? | [haʊ] [ˈɒf(ə)n] [duː] [juː] [ˈtrævl]? | Как часто ты путешествуешь?
What kind of information does she want to have? | [wɒt] [kaɪnd] [ɒv] [ˌɪnfəˈmeɪʃən] [dʌz] [ʃiː] [wɒnt] [tuː] [hæv]? | Какого рода информацию она хочет иметь?
What lessons does your teacher find really useful? | [wɒt] [ˈlɛsnz] [dʌz] [jɔː] [ˈtiːʧə] [faɪnd] [ˈrɪəli] [ˈjuːsfʊl]? | Какие уроки твой учитель находит реально полезными?
What time do you usually get up? | [wɒt] [taɪm] [duː] [juː] [ˈjuːʒʊəli] [gɛt] [ʌp]? | В какое время ты обычно встаёшь?
Who knows it? | [huː] [nəʊz] [ɪt]? | Кто знает это?
Who do you know? | [huː] [duː] [juː] [nəʊ]? | Кого ты знаешь?
What worries you? | [wɒt] [ˈwʌriz] [juː]? | Что волнует тебя?
What attracts you? | [wɒt] [əˈtrækts] [juː]? | Что привлекает тебя?
What interests you? | [wɒt] [ˈɪntrɪsts] [juː]? | Что интересует тебя?
What helps you? | [wɒt] [hɛlps] [juː]? | Что помогает тебе?
What seems so interesting? | [wɒt] [siːmz] [səʊ] [ˈɪntrɪstɪŋ]? | Что кажется таким интересным?
What do they usually discuss? | [wɒt] [duː] [ðeɪ] [ˈjuːʒʊəli] [dɪsˈkʌs]? | Что они обычно обсуждают?
What do you know about it? | [wɒt] [duː] [juː] [nəʊ] [əˈbaʊt] [ɪt]? | Что ты знаешь об этом?
What does your boss usually answer? | [wɒt] [dʌz] [jɔː] [bɒs] [ˈjuːʒʊəli] [ˈɑːnsə]? | Что твой босс обычно отвечает?
When do your parents leave home? | [wɛn] [duː] [jɔː] [ˈpeərənts] [liːv] [həʊm]? | Когда твои родители уходят из дома?
How do you usually spend your free time? | [haʊ] [duː] [juː] [ˈjuːʒʊəli] [spɛnd] [jɔː] [friː] [taɪm]? | Как ты обычно проводишь своё свободно время?
Where do you live? | [weə] [duː] [juː] [lɪv]? | Где ты живёшь?
Why does she think so? | [waɪ] [dʌz] [ʃiː] [θɪŋk] [səʊ]? | Почему она думает так?
How long does it take his daughter to get to school? | [haʊ] [lɒŋ] [dʌz] [ɪt] [teɪk] [hɪz] [ˈdɔːtə] [tuː] [gɛt] [tuː] [skuːl]? | Сколько по времени занимает у его дочери добраться до школы?
How long does it take his son to get to work? | [haʊ] [lɒŋ] [dʌz] [ɪt] [teɪk] [hɪz] [sʌn] [tuː] [gɛt] [tuː] [wɜːk]? | Сколько по времени занимает у его сына добраться до работы?
How regularly does your boss check it? | [haʊ] [ˈrɛgjʊləli] [dʌz] [jɔː] [bɒs] [ʧɛk] [ɪt]? | Как регулярно твой босс проверяет это?
How often do these things happen? | [haʊ] [ˈɒf(ə)n] [duː] [ðiːz] [θɪŋz] [ˈhæpən]? | Как часто эти вещи происходят?
How often does this thing happen? | [haʊ] [ˈɒf(ə)n] [dʌz] [ðɪs] [θɪŋ] [ˈhæpən]? | Как часто эта вещь происходит?
How many English words does your friend want to know? | [haʊ] [ˈmɛni] [ˈɪŋglɪʃ] [wɜːdz] [dʌz] [jɔː] [frɛnd] [wɒnt] [tuː] [nəʊ]? | Как много английских слов твой друг хочет знать?
How much free time does your business partner have? | [haʊ] [mʌʧ] [friː] [taɪm] [dʌz] [jɔː] [ˈbɪznɪs] [ˈpɑːtnə] [hæv]? | Сколько свободного времени у твоего бизнес партнёра?
What kind of examples does his teacher give? | [wɒt] [kaɪnd] [ɒv] [ɪgˈzɑːmplz] [dʌz] [hɪz] [ˈtiːʧə] [gɪv]? | Какого рода предметы его учитель даёт?
What advice do your teachers give you? | [wɒt] [ədˈvaɪs] [duː] [jɔː] [ˈtiːʧəz] [gɪv] [juː]? | Какие советы тебе дают твои учителя?
What advice does your teacher gives you? | [wɒt] [ədˈvaɪs] [dʌz] [jɔː] [ˈtiːʧə] [gɪvz] [juː]? | Какие советы тебе даёт твоя учительница?
What does your boss usually promise? | [wɒt] [dʌz] [jɔː] [bɒs] [ˈjuːʒʊəli] [ˈprɒmɪs]? | Что обычно обещает твой босс?
What do your friends usually order? | [wɒt] [duː] [jɔː] [frɛndz] [ˈjuːʒʊəli] [ˈɔːdə]? | Что твои друзья обычно заказывают?
When do these things happen? | [wɛn] [duː] [ðiːz] [θɪŋz] [ˈhæpən]? | Когда эти вещи происходят?
When does this thing happen? | [wɛn] [dʌz] [ðɪs] [θɪŋ] [ˈhæpən]? | Когда эта вещь происходит?
When does your father leave home? | [wɛn] [dʌz] [jɔː] [ˈfɑːðə] [liːv] [həʊm]? | Когда твой папа уходит из дома?
How does your brother control it? | [haʊ] [dʌz] [jɔː] [ˈbrʌðə] [kənˈtrəʊl] [ɪt]? | Как твой брат контролирует это?
How does your sister feel? | [haʊ] [dʌz] [jɔː] [ˈsɪstə] [fiːl]? | Как себя чувствует твоя сестра?
Why do your parents disagree with you? | [waɪ] [duː] [jɔː] [ˈpeərənts] [ˌdɪsəˈgriː] [wɪð] [juː]? | Почему твои друзья не соглашаются с тобой?
Why does your mother think so? | [waɪ] [dʌz] [jɔː] [ˈmʌðə] [θɪŋk] [səʊ]? | Почему твоя мама так думает?
Why does your boss criticize it? | [waɪ] [dʌz] [jɔː] [bɒs] [ˈkrɪtɪsaɪz] [ɪt]? | Почему твой босс критикует это?
Where do your parents work? | [weə] [duː] [jɔː] [ˈpeərənts] [wɜːk]? | Где работают твои родители?
What do you do? | [wɒt] [duː] [juː] [duː]? | Что ты делаешь?
How long does it take him to get to this place? | [haʊ] [lɒŋ] [dʌz] [ɪt] [teɪk] [hɪm] [tuː] [gɛt] [tuː] [ðɪs] [pleɪs]? | Как долго у него занимает добраться до этого места?
How long does it take you to get to work? | [haʊ] [lɒŋ] [dʌz] [ɪt] [teɪk] [juː] [tuː] [gɛt] [tuː] [wɜːk]? | Как долго у тебя занимает добраться до работы?
How regularly does he do these exercises? | [haʊ] [ˈrɛgjʊləli] [dʌz] [hiː] [duː] [ðiːz] [ˈɛksəsaɪzɪz]? | Как регулярно он делает эти упражнения?
How often does he go to the zoo? | [haʊ] [ˈɒf(ə)n] [dʌz] [hiː] [gəʊ] [tuː] [ðə] [zuː]? | Как часто он ходит в зоопарк?
How often do you go to the cinema? | [haʊ] [ˈɒf(ə)n] [duː] [juː] [gəʊ] [tuː] [ðə] [ˈsɪnəmə]? | Как часто ты ходишь в кино?
How many dollars does he have? | [haʊ] [ˈmɛni] [ˈdɒləz] [dʌz] [hiː] [hæv]? | Сколько денег у него есть?
How much money does she pay? | [haʊ] [mʌʧ] [ˈmʌni] [dʌz] [ʃiː] [peɪ]? | Сколько денег она платит?
What time does she leave home? | [wɒt] [taɪm] [dʌz] [ʃiː] [liːv] [həʊm]? | В какое время она уходит из дома?
What time does he come to work? | [wɒt] [taɪm] [dʌz] [hiː] [kʌm] [tuː] [wɜːk]? | В какое время он приходит на работу?
Which drink does she prefer: tea or coffee? | [wɪʧ] [drɪŋk] [dʌz] [ʃiː] [priˈfɜː]: [tiː] [ɔː] [ˈkɒfi]? | Какой напиток она предпочитает: чай или кофе?
What books do you prefer to read? | [wɒt] [bʊks] [duː] [juː] [priˈfɜː] [tuː] [riːd]? | Какие книги ты предпочитаешь читать?
Which channel do you usually watch? | [wɪʧ] [ˈʧænl] [duː] [juː] [ˈjuːʒʊəli] [wɒʧ]? | Какой канал ты обычно смотришь?
She watches different movies | [ʃiː] [ˈwɒʧɪz] [ˈdɪfrənt] [ˈmuːviz] | Она смотрит различные фильмы
What kind of movies does she watch? | [wɒt] [kaɪnd] [ɒv] [ˈmuːviz] [dʌz] [ʃiː] [wɒʧ]? | Какие фильмы она смотрит?
What channels does he watch? | [wɒt] [ˈʧænlz] [dʌz] [hiː] [wɒʧ]? | Какие каналы он смотрит?
What English books do you have? | [wɒt] [ˈɪŋglɪʃ] [bʊks] [duː] [juː] [hæv]? | Какие английские книги у тебя есть?
Who does he support? | [huː] [dʌz] [hiː] [səˈpɔːt]? | Кого он поддерживает?
Who supports you? | [huː] [səˈpɔːts] [juː]? | Кто поддерживает тебя?
Who loves her? | [huː] [lʌvz] [hɜː]? | Кто любит её?
Who does she love? | [huː] [dʌz] [ʃiː] [lʌv]? | Кого она любит?
Who motivates you? | [huː] [ˈməʊtɪveɪts] [juː]? | Кто мотивирует тебя?
Who does it motivate? | [huː] [dʌz] [ɪt] [ˈməʊtɪveɪt]? | Кого это мотивирует?
What worries you? | [wɒt] [ˈwʌriz] [juː]? | Что беспокоит тебя?
What interests you? | [wɒt] [ˈɪntrɪsts] [juː]? | Что интересует тебя?
What helps you? | [wɒt] [hɛlps] [juː]? | Что помогает тебе?
What does he want to add? | [wɒt] [dʌz] [hiː] [wɒnt] [tuː] [æd]? | Что он хочет добавить?
What does he remember? | [wɒt] [dʌz] [hiː] [rɪˈmɛmbə]? | Что он помнит?
Where does he feel happy? | [weə] [dʌz] [hiː] [fiːl] [ˈhæpi]? | Когда он чувствует себя счастливым?
When does it happen? | [wɛn] [dʌz] [ɪt] [ˈhæpən]? | Когда это происходит?
How does he support you? | [haʊ] [dʌz] [hiː] [səˈpɔːt] [juː]? | Как он поддерживает тебя?
How does it help you? | [haʊ] [dʌz] [ɪt] [hɛlp] [juː]? | Как это помогает тебе?
How does she test their knowledge? | [haʊ] [dʌz] [ʃiː] [tɛst] [ðeə] [ˈnɒlɪʤ]? | Как она тестирует их знания?
What does he need to change? | [wɒt] [dʌz] [hiː] [niːd] [tuː] [ʧeɪnʤ]? | Что ему нужно изменить?
What does she try to do? | [wɒt] [dʌz] [ʃiː] [traɪ] [tuː] [duː]? | Что она пытается делать?
What does she tell him? | [wɒt] [dʌz] [ʃiː] [tɛl] [hɪm]? | Что она говорит ему?
What does she say? | [wɒt] [dʌz] [ʃiː] [seɪ]? | Что она говорит?
Why does it happen again and again? | [waɪ] [dʌz] [ɪt] [ˈhæpən] [əˈgɛn] [ænd] [əˈgɛn]? | Почему это происходит снова и снова?
Why does she refuse to pay? | [waɪ] [dʌz] [ʃiː] [ˌriːˈfjuːz] [tuː] [peɪ]? | Почему она отказывается платить?
Why does he complain so often? | [waɪ] [dʌz] [hiː] [kəmˈpleɪn] [səʊ] [ˈɒf(ə)n]? | Почему он жалуется так часто?
Where does she go? | [weə] [dʌz] [ʃiː] [gəʊ]? | Куда она ходит?
Where does she study? | [weə] [dʌz] [ʃiː] [ˈstʌdi]? | Где она учится?
Where do you work? | [weə] [duː] [juː] [wɜːk]? | Где ты работаешь?
Where does he work? | [weə] [dʌz] [hiː] [wɜːk]? | Где он работает?
How regularly do you learn English? | [haʊ] [ˈrɛgjʊləli] [duː] [juː] [lɜːn] [ˈɪŋglɪʃ]? | Как регулярно ты занимаешься английским?
How often do you go there? | [haʊ] [ˈɒf(ə)n] [duː] [juː] [gəʊ] [ðeə]? | Как часто ты ходишь туда?
How often do you go to the gym? | [haʊ] [ˈɒf(ə)n] [duː] [juː] [gəʊ] [tuː] [ðə] [ʤɪm]? | Как часто ты ходишь в спортзал?
How many friends do you have? | [haʊ] [ˈmɛni] [frɛndz] [duː] [juː] [hæv]? | Сколько у тебя друзей?
How much money do you have with you? | [haʊ] [mʌʧ] [ˈmʌni] [duː] [juː] [hæv] [wɪð] [juː]? | Сколько у тебя денег с собой?
What time do you go to to bed? | [wɒt] [taɪm] [duː] [juː] [gəʊ] [tuː] [tuː] [bɛd]? | В какое время ты ложишься спать?
What time do you get up? | [wɒt] [taɪm] [duː] [juː] [gɛt] [ʌp]? | В какое время ты встаёшь?
What kind of computer games do they play? | [wɒt] [kaɪnd] [ɒv] [kəmˈpjuːtə] [geɪmz] [duː] [ðeɪ] [pleɪ]? | В какого рода компьютерные игры они играют?
What kind of books do you read? | [wɒt] [kaɪnd] [ɒv] [bʊks] [duː] [juː] [riːd]? | Какого рода книги ты читаешь?
What music do you prefer? | [wɒt] [ˈmjuːzɪk] [duː] [juː] [priˈfɜː]? | Какую музыку ты предпочитаешь?
What English books do you read? | [wɒt] [ˈɪŋglɪʃ] [bʊks] [duː] [juː] [riːd]? | Какие английские книги ты читаешь?
What books do you read? | [wɒt] [bʊks] [duː] [juː] [riːd]? | Какие книги ты читаешь?
Who do you support? | [huː] [duː] [juː] [səˈpɔːt]? | Кого ты поддерживаешь?
Who knows it? | [huː] [nəʊz] [ɪt]? | Кто знает это?
Who do you know? | [huː] [duː] [juː] [nəʊ]? | Кого ты знаешь?
What looks strange? | [wɒt] [lʊks] [streɪnʤ]? | Что кажется странным?
What really helps you? | [wɒt] [ˈrɪəli] [hɛlps] [juː]? | Что действительно тебе помогает?
What do they want to tell you? | [wɒt] [duː] [ðeɪ] [wɒnt] [tuː] [tɛl] [juː]? | Что они хотят тебе сказать?
What seems strange? | [wɒt] [siːmz] [streɪnʤ]? | Что кажется странным?
What do you want to say? | [wɒt] [duː] [juː] [wɒnt] [tuː] [seɪ]? | Что ты хочешь сказать?
When do you have a free time? | [wɛn] [duː] [juː] [hæv] [ə] [friː] [taɪm]? | Когда у тебя есть свободное время?
When do you feel happy? | [wɛn] [duː] [juː] [fiːl] [ˈhæpi]? | Когда ты чувствуешь себя счастливой?
When do you go to work? | [wɛn] [duː] [juː] [gəʊ] [tuː] [wɜːk]? | Когда ты ходишь на работу?
How do you get there? | [haʊ] [duː] [juː] [gɛt] [ðeə]? | Как ты добираешься до туда?
How do you get to work? | [haʊ] [duː] [juː] [gɛt] [tuː] [wɜːk]? | Как ты добираешься до работы?
How do you find this idea? | [haʊ] [duː] [juː] [faɪnd] [ðɪs] [aɪˈdɪə]? | Как ты находишь эту идею?
What do you want to do? | [wɒt] [duː] [juː] [wɒnt] [tuː] [duː]? | Что ты хочешь сделать?
What do you need to do? | [wɒt] [duː] [juː] [niːd] [tuː] [duː]? | Что тебе нужно сделать?
What do you know? | [wɒt] [duː] [juː] [nəʊ]? | Что ты знаешь?
What do you think about it? | [wɒt] [duː] [juː] [θɪŋk] [əˈbaʊt] [ɪt]? | Что ты думаешь об этом?
Why do you learn English? | [waɪ] [duː] [juː] [lɜːn] [ˈɪŋglɪʃ]? | Почему ты изучаешь английский?
Why do you agree with him? | [waɪ] [duː] [juː] [əˈgriː] [wɪð] [hɪm]? | Почему ты согласен с ним?
Why do you think so? | [waɪ] [duː] [juː] [θɪŋk] [səʊ]? | Почему ты думаешь так?
Where do they spend time together? | [weə] [duː] [ðeɪ] [spɛnd] [taɪm] [təˈgɛðə]? | Где они проводят время вместе?
Where do you go? | [weə] [duː] [juː] [gəʊ]? | Куда ты идёшь?
Where do you live? | [weə] [duː] [juː] [lɪv]? | Где ты живёшь?
This result depends on you | [ðɪs] [rɪˈzʌlt] [dɪˈpɛndz] [ɒn] [juː] | Этот результат зависит от тебя
This results doesn't depend on you | [ðɪs] [rɪˈzʌlts] [dʌznt] [dɪˈpɛnd] [ɒn] [juː] | Этот результат не зависит от тебя
Does this result depend on you? | [dʌz] [ðɪs] [rɪˈzʌlt] [dɪˈpɛnd] [ɒn] [juː]? | Этот результат зависит от тебя?
This exercise seems too easy | [ðɪs] [ˈɛksəsaɪz] [siːmz] [tuː] [ˈiːzi] | Это упражнение кажется слишком лёгким
This exercise doesn't seem too easy | [ðɪs] [ˈɛksəsaɪz] [dʌznt] [siːm] [tuː] [ˈiːzi] | Это упражнение не кажется слишком лёгким
Does this exercise seem too easy? | [dʌz] [ðɪs] [ˈɛksəsaɪz] [siːm] [tuː] [ˈiːzi]? | Это упражнение кажется слишком лёгким?
My father believes in God | [maɪ] [ˈfɑːðə] [bɪˈliːvz] [ɪn] [gɒd] | Мой папа верит в бога
My father doesn't believe in God | [maɪ] [ˈfɑːðə] [dʌznt] [bɪˈliːv] [ɪn] [gɒd] | Мой папа не верит в бога
Does your father believe in God? | [dʌz] [jɔː] [ˈfɑːðə] [bɪˈliːv] [ɪn] [gɒd]? | Твой папа верит в бога?
Our boss controls the situation | [ˈaʊə] [bɒs] [kənˈtrəʊlz] [ðə] [ˌsɪtjʊˈeɪʃən] | Наш босс контролирует ситуацию
Our boss doesn't control the situation | [ˈaʊə] [bɒs] [dʌznt] [kənˈtrəʊl] [ðə] [ˌsɪtjʊˈeɪʃən] | Наш босс не контролирует ситуацию
Does our boss control the situation? | [dʌz] [ˈaʊə] [bɒs] [kənˈtrəʊl] [ðə] [ˌsɪtjʊˈeɪʃən]? | Наш босс контролирует ситуацию?
This person needs our help | [ðɪs] [ˈpɜːsn] [niːdz] [ˈaʊə] [hɛlp] | Этому человеку нужна наша помощь
This person doesn't need our help | [ðɪs] [ˈpɜːsn] [dʌznt] [niːd] [ˈaʊə] [hɛlp] | Этому человеку не нужна наша помощь
Does this person need our help? | [dʌz] [ðɪs] [ˈpɜːsn] [niːd] [ˈaʊə] [hɛlp]? | Этому человеку нежна наша помощь?
His teacher corrects all his mistakes | [hɪz] [ˈtiːʧə] [kəˈrɛkts] [ɔːl] [hɪz] [mɪsˈteɪks] | Его учитель исправляет все его ошибки
His teacher doesn't correct all his mistakes | [hɪz] [ˈtiːʧə] [dʌznt] [kəˈrɛkt] [ɔːl] [hɪz] [mɪsˈteɪks] | Его учитель не исправляет все его ошибки
Does his teacher correct all his mistakes? | [dʌz] [hɪz] [ˈtiːʧə] [kəˈrɛkt] [ɔːl] [hɪz] [mɪsˈteɪks]? | Его учитель исправляет все его ошибки?
Those lessons seem useless | [ðəʊz] [ˈlɛsnz] [siːm] [ˈjuːslɪs] | Те уроки кажутся бесполезными
Those lessons don't seem useless | [ðəʊz] [ˈlɛsnz] [dəʊnt] [siːm] [ˈjuːslɪs] | Те уроки не кажутся бесполезными
Do those lessons seem useless? | [duː] [ðəʊz] [ˈlɛsnz] [siːm] [ˈjuːslɪs]? | Те уроки кажутся бесполезными?
This information seems useful | [ðɪs] [ˌɪnfəˈmeɪʃən] [siːmz] [ˈjuːsfʊl] | Эта информация кажется полезной
Does this information seem useful? | [dʌz] [ðɪs] [ˌɪnfəˈmeɪʃən] [siːm] [ˈjuːsfʊl]? | Эта информация кажется полезной?
This information doesn't seem useful | [ðɪs] [ˌɪnfəˈmeɪʃən] [dʌznt] [siːm] [ˈjuːsfʊl] | Эта информация не кажется полезной
My friends support me | [maɪ] [frɛndz] [səˈpɔːt] [miː] | Мои друзья поддерживают меня
My friends don't support me | [maɪ] [frɛndz] [dəʊnt] [səˈpɔːt] [miː] | Мои друзья не поддерживают меня
Do my friends support me? | [duː] [maɪ] [frɛndz] [səˈpɔːt] [miː]? | Мои друзья поддерживают меня?
My friend likes it | [maɪ] [frɛnd] [laɪks] [ɪt] | Моему другу нравится это
My friend doesn't like it | [maɪ] [frɛnd] [dʌznt] [laɪk] [ɪt] | Моему другу не нравится это
Does my friend like it? | [dʌz] [maɪ] [frɛnd] [laɪk] [ɪt]? | Моему другу нравится это?
Does your friend like this idea? | [dʌz] [jɔː] [frɛnd] [laɪk] [ðɪs] [aɪˈdɪə]? | Твоему другу нравится эта идея?
Do your friends support you? | [duː] [jɔː] [frɛndz] [səˈpɔːt] [juː]? | Твои друзья поддерживают тебя?
